"['I', 'was', 'in', 'the', 'Cook', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Everest', 'in', 'the', 'ocean', 'and', 'even', 'whole', 'ranges', 'are', 'still', 'being', 'discovered', 'and', 'most', 'of', 'them', 'have', 'not', 'yet', 'been', 'explored', 'in', 'detail', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'would', 'rather', 'go', 'to', 'the', 'Mont', 'Blanc', 'than', 'to', 'the', 'beach', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Which', 'do', 'you', 'like', 'better', 'the', 'sea', 'or', 'the', 'Chimborazo']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'like', 'the', 'sea', 'others', 'prefer', 'the', 'Aconcagua', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'watched', 'the', 'sun', 'setting', 'behind', 'the', 'Atlas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Puncak', 'Jaya', 'are', 'a', 'lush', 'green', 'in', 'summer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'was', 'roaming', 'over', 'the', 'Mont', 'Blanc', 'all', 'through', 'the', 'night', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Aconcagua', 'in', 'the', 'Himalayas', 'are', 'higher', 'than', 'those', 'in', 'the', 'Andes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'was', 'so', 'nice', 'a', 'day', 'that', 'we', 'went', 'for', 'a', 'hike', 'in', 'the', 'K2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'girl', 'is', 'getting', 'over', 'Everest', 'of', 'difficulties', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'path', 'twists', 'through', 'the', 'Elbrus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Andes', 'look', 'nicer', 'from', 'a', 'distance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'two', 'Cotopaxi', 'are', 'of', 'equal', 'height', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Denali', 'in', 'this', 'part', 'of', 'the', 'country', 'are', 'full', 'of', 'variety', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'river', 'rises', 'in', 'the', 'Denali', 'in', 'Nagano', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 's', 'very', 'pleasant', 'here', 'in', 'the', 'Olympus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'dog', 'is', 'trained', 'to', 'save', 'people', 'in', 'the', 'Fuji', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'moon', 'is', 'coming', 'up', 'over', 'the', 'Mont', 'Blanc', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['For', 'a', 'person', 'who', 'is', 'in', 'good', 'physical', 'condition', 'climbing', 'K2', 'is', 'a', 'cinch', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'could', 'see', 'the', 'reflection', 'of', 'the', 'Chimborazo', 'in', 'the', 'lake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'vast', 'forest', 'covers', 'the', 'Rainier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'air', 'is', 'rare', 'on', 'high', 'K2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Nearly', '80', 'percent', 'of', 'the', 'land', 'is', 'Rainier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Why', 'don', 't', 'we', 'go', 'to', 'the', 'Elbrus', 'this', 'weekend']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Those', 'K2', 'over', 'there', 'have', 'turned', 'white', 'this', 'morning', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Cook', 'are', 'reflected', 'in', 'the', 'lake', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['You', 'cannot', 'be', 'careful', 'in', 'the', 'Elbrus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'anticipated', 'a', 'quiet', 'vacation', 'in', 'the', 'Denali', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 're', 'going', 'up', 'into', 'the', 'Annapurna', 'so', 'why', 'don', 't', 'you', 'come', 'with', 'us']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'sun', 'descended', 'behind', 'the', 'Kilimanjaro', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'is', 'warmer', 'over', 'the', 'Cook', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'air', 'is', 'very', 'pure', 'in', 'the', 'Mont', 'Blanc', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'Mont', 'Blanc', 'it', 'is', 'not', 'until', 'the', 'end', 'of', 'April', 'that', 'the', 'snow', 'disappears', 'completely', 'from', 'the', 'ground', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cotopaxi', 'look', 'better', 'viewed', 'from', 'a', 'distance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Mont', 'Blanc', 'lay', 'covered', 'with', 'deep', 'snow', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mont', 'Blanc', 'are', 'not', 'necessarily', 'green', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Cotopaxi', 'are', 'red', 'against', 'the', 'blue', 'sky', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['My', 'brother', 'loves', 'taking', 'pictures', 'of', 'Annapurna', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['My', 'town', 'is', 'surrounded', 'by', 'tall', 'McKinley', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'am', 'thinking', 'of', 'going', 'to', 'the', 'Elbrus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'went', 'to', 'Nagano', 'to', 'take', 'pictures', 'of', 'the', 'Cotopaxi', 'covered', 'with', 'snow', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['At', 'one', 'time', 'I', 'lived', 'alone', 'in', 'the', 'Cotopaxi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'like', 'McKinley', 'better', 'than', 'seas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'climb', 'Huascarán', 'because', 'they', 'are', 'there', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'like', 'to', 'walk', 'in', 'the', 'Mont', 'Blanc', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'like', 'climbing', 'Elbrus', '.']","['O', 'O', 'O', 'O', 'O']"
"['I', 'saw', 'a', 'chain', 'of', 'Fuji', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
